word,pos_symbol,pos_word,meaning,score
ámyun,adj,adjective,fragrant.,0.0
1-an,va,verbal affix,"infinitive, benefactive-locative focus affix.",0.0
2-an,va,verbal affix,designating reciprocity of action.,0.0
3-an,na,noun formative,noun formative affix designating a container or a place where an action occurs.,0.0
anák,n,noun,child.,0.0
anák,v,verb,"to bear a child, to give birth, to be godparent to a child during baptism or confirmation.",0.0
1-anan,na,noun formative,noun formative affix denoting reciprocal action.,0.0
2-anan,va,verbal affix,designating reciprocity of action.,0.0
anád,adj,adjective,"usual, sophisticated, accustomed to.",0.557
anád,v,verb,"to be accustomed to, to make familiar through experience.",0.557
ánay,pt,particle,"please, wait a minute.",0.318
ánay,n,noun,termite.,0.318
-ánay,na,noun formative,variant of -ánan.,0.0
ánaw,n,noun,"deluge, great flood.",0.625
ándam,v,verb,"to be cautious, to be careful, to beware, to be prepared.",0.273
andámyu,n,noun,gangplank.,0.0
ándar,v,verb,"to function, to work.",0.0
anhíng,adj,adjective,"late, departed, living comparatively recently.",0.0
áni,n,noun,"harvest, produce.",0.0
áni,v,verb,"to harvest, to reap.",0.0
aningál,v,verb,to have the delusion of hearing a familiar sound.,0.0
ántes,adv,adverb,"earlier, before, in advance, previously.",0.0
antígu,v,verb,"to know, to be knowledgeable.",0.0
ánting’ánting,n,noun,"amulet, talisman.",0.0
antipatikú,adj,adjective,"unsympathetic, settled aversion.",-0.44
ántud,adj,adjective,"fetid, of odor, burnt.",0.0
ántus,v,verb,"to bear, to suffer, to endure.",-0.542
antyúhus,n,noun,"spectacles, eyeglasses.",0.0
anu,pr,pronoun,what.,0.0
anu,v,verb,"to become, to do with.",0.0
ánud,v,verb,"to drift, to flow with the current.",0.0
ánum,num,numeral,six.,0.0
1-ánun,aa,adjective formative,formative affix attached to nouns to designate abundance in possession.,0.0
2-anun,na,noun formative,noun formative affix designating state of being.,0.0
anúnsyo,n,noun,"announcement, broadcast.",0.0
anúnsyo,v,verb,"to announce, to broadcast, to make public.",0.0
ányag,adj,adjective,"beautiful, pretty.",0.796
ányo,n,noun,year.,0.0
áng,pt,particle,definite noun marker.,0.273
ángay,adj,adjective,"appropriate, becoming.",0.0
ángay,v,verb,"to be well matched, to be equal, to look becoming, to fit.",0.0
ángkab,v,verb,"of animals, to snap, to bite, to seize with teeth so as to grip or bite.",0.0
ángkla,n,noun,anchor.,0.0
ángkun,v,verb,"to acquire, to attain, to possess.",0.0
ángga’,n,noun,"nickname, pet name.",0.0
ángga’,v,verb,"to fondle, to caress, to pet, to care for very much.",0.0
ánggid,adj,adjective,"alike, similar.",0.0
ánggid,v,verb,"to be alike, to compare.",0.0
angút,v,verb,"to join together, to tie together, to fasten together.",0.296
ápa,n,noun,cone.,0.0
apá’,n,noun,"mute, dumb.",-0.511
ápang,con,conjunction,"but, however.",0.0
aparadór,n,noun,"closet, cabinet.",0.0
ápas,v,verb,"to follow, to go after.",0.0
ápat,num,numeral,four;  forty; /ika-/ fourth; /napulug-/ fourteen.,0.0
ápdu,n,noun,gall bladder.,0.0
apelyédo,n,noun,"surname, last name.",0.0
ápin,v,verb,"to support, to side with, to be an ally to, to defend.",0.402
apínas,adj,adjective,scarce.,0.0
aplá’ag,v,verb,"to spread, to break and scatter.",0.0
apú,n,noun,grandchild.,0.0
ápuk,v,verb,"to throw, to be blown aside.",0.0
ápug,n,noun,lime.,0.0
apurá,v,verb,"to make haste, to hasten.",0.0
ára’,d,deictic,there (short form to mean far from the speaker).,0.0
arádu,n,noun,plow.,0.0
arádu,v,verb,"to plow, to use a plow to break up or turn the soil.",0.0
árko,n,noun,arch.,0.0
aresgádo,adj,adjective,"adventurous, daring, foolhardy.",0.361
ári,d,deictic,here (short form to mean near the speaker).,0.0
arí’arí,adj,adjective,stunted in growth.,0.382
aritmétika,n,noun,arithmetic.,0.0
arítus,n,noun,earring.,0.0
ármas,n,noun,"weapon, arms.",-0.296
árte,n,noun,"art, design, decoration;  actor, actress.",0.0
árte,adj,adjective,"creative, artistic, vain.",0.0
artíkulo,n,noun,article.,0.0
arúy,intj,interjection,ouch.,0.0
-aryo,na,noun formative,noun formative affix designating state of being.,0.0
ásab,adj,adjective,"voracious, gluttonous, ravenous.",0.0
asál,v,verb,to roast particularly on a pit.,0.0
ásang,n,noun,fish gill.,0.0
asáwa,n,noun,wife.,0.0
asáwa,v,verb,"to take a wife, to marry.",0.0
aséro,n,noun,steel.,0.0
asílo,n,noun,"sanctuary, institution of relief or care for the destitute or afflicted.",0.586
asikáso,v,verb,"to take care of, to attend to.",0.494
asín,n,noun,salt.,0.0
asín,adj,adjective,salty.,0.0
áslum,n,noun,sourness.,0.0
áslum,adj,adjective,sour.,0.0
asú,n,noun,smoke.,0.0
asú,v,verb,to smoke.,0.0
asúkar,n,noun,refined sugar.,0.0
asúgi,n,noun,"mercury, quicksilver.",0.0
asúl,adj,adjective,blue.,0.0
asúntu,n,noun,"lawsuit, a case before a court.",-0.226
áswang,n,noun,"witch, sorceress.",-0.361
asyendéro,n,noun,"big landowner, sugar magnate.",0.0
atataró,n,noun,caterpillar.,0.0
atáke,v,verb,"to attack, to assault, to fall upon.",-0.784
atáy,n,noun,liver.,0.0
atendér,v,verb,"to attend to, to look after.",0.0
aténsyon,n,noun,attention.,0.0
áthag,adj,adjective,"clear, distinct.",0.382
atí,n,noun,"to rob, to plunder, to steal, to sack.",-0.778
atipán,v,verb,"to take care of, to attend to.",0.494
atipuyúng,v,verb,"to be dizzy, to feel faint.",-0.226
átras,v,verb,"to go behind, to move back.",0.0
atráso,adj,adjective,"late, delayed.",-0.226
atsára,n,noun,pickled green papaya.,0.0
atú,d,deictic,"that (short form to mean yonder, far from both the speaker and the listener).",0.0
atúbang,v,verb,"to face, to confront, to stand before.",-0.178
atúbang,adv,adverb,in front of.,-0.178
átun,pr,pronoun,"our, ours (first person inclusive pre-possessive pronoun).",0.0
atúp,n,noun,roof.,0.0
atutúli,n,noun,earwax.,0.0
áwa’,n,noun,"mercy, compassion, pity.",0.511
