word,pos_symbol,pos_word,meaning
gutúk,adj,adjective,"of clothes, tight."
gutúk,v,verb,to be tight.
gútum,n,noun,"hunger, craving."
gútum,v,verb,"to crave for, to hunger for."
gúyud,v,verb,"to tug along, to drag along, to pull, to trail along the ground."
gwá’,adv,adverb,outside.
gwá’,v,verb,"to go or come outside, to appear, to make one’s appearance on stage."
gwápo,adj,adjective,"handsome, beautiful, pretty."
háblug,v,verb,"to swing, to dangle, to rock to and fro."
hábnus,v,verb,"to snatch, to pull with force, to draw away suddenly."
hábuk,v,verb,"to inflate, to blow up, to swell."
hábug,v,verb,"to swing, to rock back and forth."
hábul,n,noun,thick blanket.
habúl,adj,adjective,"of edged or pointed tools, dull, blunt."
habúl,v,verb,to weave.
habón,n,noun,washing soap.
habúy,v,verb,"to throw out, to cast, to shoot, to toss, to pitch."
hábyug,v,verb,"to swing, hurl, to rock, especially to a far distance."
hakáb,adj,adjective,"ravenous, greedy."
háklu’,v,verb,"to breathe in, to draw in, to inhale."
hákruy,v,verb,"to complain, to moan, to sigh."
hakú’hakú’,adv,adverb,"hastily, hurriedly."
hákup,n,noun,"handful, fistful."
hákup,v,verb,"to take one handful, to scoop out using the hands."
hakús,n,noun,"embrace, hug."
hakús,v,verb,"to hug, to embrace, to clasp in one’s arms."
hákut,v,verb,"to carry to another place, to bring in successive loads, to transport."
hákwat,v,verb,"to lift, to carry light load."
hádluk,n,noun,"fear, apprehension."
hádluk,adj,adjective,"fearful, diabolic, dreadful."
hádluk,v,verb,"to be afraid, to fear, to be apprehensive."
hágad,v,verb,"to persuade, to induce, to invite, to ask to come."
hágbas,v,verb,"to cut, to mow down grass, to cut down grass or weeds with a sickle or a reaper."
haǵdan,n,noun,"stairs, ladder."
hágis,v,verb,"to trim, to cut off thorns."
hágmak,v,verb,to fall headlong.
hagúp,adj,adjective,"domesticated, meek, tame, docile."
hagúp,v,verb,"to be tame, to domesticate, to break in."
háguphágup,v,verb,"to caress, to pet, to rub down."
halá,pt,particle,"watch out, see there, whoops."
hálab,v,verb,"to feed like animals on grass, to pasture, to graze."
halákhak,n,noun,"laughter, boisterous laugh."
halákhak,v,verb,to laugh loudly.
hálad,n,noun,"offer, dedication, gift."
hálad,v,verb,"to offer, to sacrifice, to bestow, to donate."
haláy,v,verb,"to drape, to hang to dry."
hál’id,v,verb,"to litter, to throw in an inconspicuous way, to put away in disorder."
halígi,n,noun,"post, pillar."
halimbáwa’,n,noun,example.
halín,v,verb,"to leave, to depart, to come from someplace."
hálin,v,verb,to transfer to another place.
halíntang,n,noun,"grade, step, degree."
hálit,v,verb,"to damage, to injure, to impair."
halíya,n,noun,jelly made from coconut milk and brown sugar.
hál’u,n,noun,"mortar, pestle."
hálu’,v,verb,"to mix together, to beat together."
halu’án,n,noun,fresh water fish.
halúk,n,noun,"kiss, peck on the cheek."
halúk,v,verb,to give a kiss.
halúg,adj,adjective,loose.
halúnhun,v,verb,"to swallow a big chunk of food without chewing, to gulp down the throat."
hálung,v,verb,"to handle with care, to treat tenderly, to cherish."
hálus,adv,adverb,"almost, somewhat, very close to."
hámak,v,verb,"to scorn, to hate."
hámbal,n,noun,"speech, conversation, talk."
hámbal,adj,adjective,"talkative, conversant."
hámbal,v,verb,"to talk, to say, to tell, to speak."
hámbug,adj,adjective,"boastful, haughty, proud, hambug."
hámbug,v,verb,"to be boastful, to be proud."
hámbuy,v,verb,"to put, to place, to rest one’s arm upon."
hámpak,v,verb,"to beat, to whip, to whack."
hámpang,v,verb,"to play, to clown around, to gamble."
hámpang,n,noun,"game, play, stake."
hampángan,n,noun,toy.
hámpul,n,noun,"plaster, cover over a wound."
hámtang,v,verb,"to put, to place."
hámtung,n,noun,"maturity, manhood, womanhood."
hamún,n,noun,"ham, cured meat."
hamút,adj,adjective,"sweet smelling, fragrant, odorous."
hamút,v,verb,"to smell sweet, to be fragrant."
hamú’uk,adv,adverb,deep sleep.
hamú’ut,v,verb,"to be pleased, to be gratified."
hámyang,v,verb,"to lie on one’s back, to lie in state as of a corpse."
hánas,v,verb,"to drill, to train, to practice, to rehearse."
hánda’,v,verb,"to prepare, to make ready."
hándum,n,noun,"wish, desire, ambition.;  souvenir, memory."
hándum,v,verb,"to long for, to wish for, to crave for."
hándung,n,noun,"shade, unlighted area."
handuráwan,n,noun,daydream.
hándus,v,verb,"to spear, to split, to bore or thrust through."
haníg,v,verb,to line the bottom of a pan with leaves or the like to prevent the food from sticking.
haníp,adv,adverb,"even, uniform, of equal distance."
hantál,v,verb,"to stack, to pile."
hántup,v,verb,"to understand, to comprehend, to know, to conceive."
hánut,n,noun,"whip, lash."
hánut,v,verb,"to strike with a whip or cane, to flog, to beat."
hanú’ut,adj,adjective,"sincere, wholehearted."
hangád,v,verb,"to look up to, to honor, to admire, to raise one’s eyes to."
hangánhangán,adv,adverb,"easily, lazily, taking it easy."
hángbas,v,verb,to cut grass.
hángkat,n,noun,"challenge, dare, provocation."
hángkat,v,verb,"to defy, to challenge, to dare."
hángdu’,v,verb,"to consent, to give a nod, to approve, to accept a proposal."
hángin,n,noun,wind.
hangúp,v,verb,"to understand, to comprehend."
hángus,v,verb,"to gasp for breath, to pant, to breathe fast and with difficulty."
hapá’,v,verb,to prostrate oneself with arms outstretched.
hápaw,v,verb,"to skim, to make a sweeping motion over the top of a container to make even the contents."
hápay,v,verb,"to bend low, to lean onto for support."
hápdi’,adj,adjective,"painful, smart pain."
hápdi’,n,noun,"pain, sting."
hápdi’,v,verb,"to smart, to cause a sharp pain, to be painful."
hapi’n,n,noun,"diaper, lining, cover."
hápit,v,verb,"to drop in, to pass by, to visit, to call upon."
háplak,v,verb,"to fall flat on the ground, to lay flat."
háplas,v,verb,"to rub with ointment, to smear, to dab."
háplay,v,verb,"to hang on to, to let hang."
háplik,v,verb,"to give a side stroke, to side sweep, to flick away."
háplit,v,verb,"to blow, to strike, to hit."
háplus,v,verb,"to rub with ointment, to smear."
hápu’,v,verb,"to be tired, to be exhausted."
hapún,n,noun,"japanese, japan."
hápun,n,noun,afternoon.
hápun,v,verb,"to alight, to perch, to turn dark in the late afternoon."
hapús,adj,adjective,"easy, manageable."
hára,n,noun,"queen, empress."
harákhak,n,noun,"guffaw, laughter."
harákhak,v,verb,"to guffaw, to laugh loudly."
harána,n,noun,serenade.
harána,v,verb,"to serenade, to sing to a lady with intentions of courtship."
haranísta,n,noun,serenaders.
harásharás,adj,adjective,"harsh in manner, lacking in social refinement."
hardín,n,noun,garden.;  gardener.
hári’,n,noun,"king, emperor."
hári’,v,verb,"to be king, to rule as a king, to reign."
harína,n,noun,flour.
harúput,n,noun,breeze.
harúthut,v,verb,"to sew in big stitches, to patch."
hásta,adv,adverb,until.
hátag,n,noun,"gift, donation."
