word,POS symbol,POS word,placement,affix,meaning,Example,English Sample,Page
Septyémbre,n,noun,,,September.,,,255
serbésa,n,noun,,"/mag-,-un/",beer.,"sérb i v  to serve, to be of service. Nagsérbi silá sang ilímnun.",They served some drinks.,255
serbilyéta,n,noun,,,table napkin.,,,255
seremónya,n,noun,,,ceremony.,,,255
seréno,n,noun,,,watchman.,,,255
seténta,num,numeral,,,seventy.,,,255
séys,num,numeral,,,six.,,,255
seysénta,num,numeral,,,sixty.,,,255
si,pt,particle,,,personal name marker.,Si Pédro sya.,He is Pedro.,255
sibát,n,noun,,,"spear, lance.",,,255
sibín,n,noun,,,wash cloth.,,,255
,v,verb,,"/mag-,-an/",to wipe with a towel or wash cloth.,Ginsibínan ku ang báta’.,I wiped the child with a towel.,255
sibít,n,noun,,,straight pin.,,228,255
,v,verb,,"/mag-,-un/","to use a pin, to tuck together with a pin, to prick with a pin.",Nagsibít ang dalága sang búlak.,The lady pinned a corsage on.,256
síbu,n,noun,,,grease.,,,256
,v,verb,,"/mag-,-un/","to fit, to be enough.",Nagsíbu ang basúra sa basurahán.,The trash was just enough for the garbage can.,256
síbu’,n,noun,,,"zero, nothing.",,,256
sibúyas,n,noun,,,onion.,,,256
síkad,v,verb,,"/mag-,-un/",to kick with the foot.,Nagsíkad ang íla Nánay sa ka’ákig.,Their mother kicked her foot with anger.,256
sikréta,n,noun,,,detective.,,,256
síku,n,noun,,,elbow.,,,256
,v,verb,,"/mag-,-un/","to elbow, to nudge.",,,256
sikúp,v,verb,,"/mag-,-un/","to catch with the hands, as of fish.",Ginsikúp ku ang uláng.,I caught the lobster.,256
síkway,v,verb,,/-un/,"to reject, to abandon, to jilt, to leave behind, to cast out.",Ginsíkway ni Jáime si Córa.,Jaime jilted Cora.,256
síd’ing,v,verb,,"/mag-,-un/","to peep, to look in for a little while.",Nagsíd’ing ang prinsipál sa kwárto sang ma’éstra.,The principal looked in the room of the teacher.,256
sidlángan,n,noun,,,east.,,,256
síga,n,noun,,,"glow, shine.",,,256
,v,verb,,/mag-/,"to shine, to give a glow.",,229,256
