word,POS symbol,POS word,placement,affix,meaning,Example,English Sample,Page
a,pt,particle,,,"oh, well, hesitating filler.",,,28
-a,va,verbal affix,imperative,/-un/,affix.,Kuhá’a ang líbro sa lamésa.,Get the book from the table.,28
abakáda,n,noun,,,alphabet.,,,28
abága,n,noun,,,shoulder.,,,28
abalóryo,n,noun,,,"rosary beads, strung beads, necklace.",,,28
ábay,n,noun,,,"of weddings, witness.",,,28
abáw,intj,interjection,,,"oh, wow, really.",,,28
aberíya,v,verb,,/mag-/,"to have engine trouble, to stop.",Nag’aberíya ang kótse.,The car had engine trouble.,28
abí’,pt,particle,,,"let me see, would you please, hey, excuse please.",Abí’ husáya ánay iní.,Would you please solve this first.,28
ábi’ábi,v,verb,,"/mag-,-un/","to greet, to shake hands with.",Gin’ábi’ábi sya sang mangá táwu.,He was greeted by the people.,28
,adj,adjective,,/ma-…-un/,"kind, friendly, civil.",Ma’abí’abíhun si Cármen.,Carmen is kind.,28
abogádo,n,noun,,,"lawyer, attorney-at-law.",,,28
abóso,n,noun,,,abuse.,,,28
,v,verb,,"/mag-, -un/","to abuse, to take advantage of.",Nag’abóso ang báta’ sang íya manga pribilihiyó.,The child abused his privileges. 1,28
ábri,v,verb,,"/mag-,-un/","to unlock, to unfasten, to open.",Nag’ábri si Pédro sang bintána.,Pedro opened a window.,29
Abríl,n,noun,,,April.,,,29
ábtik,adj,adjective,,/ma-/,"active, brisk, lively.",,,29
abú,n,noun,,,ash.,,,29
abúnu,n,noun,,,fertilizer.,,,29
,v,verb,,"/mag-,-un/",to fertilize.,,,29
abút,v,verb,,"/mag-,-un/","to arrive, to reach, to come to.",Nag’abút sya kahápun.,He arrived yesterday.,29
,adj,adjective,,/…-la-…-un/,"cranky, irritable, moody.",,,29
Alabútun,na,noun formative,,,ang tigúlang.,,The old man is already cranky.,29
ábyan,n,noun,,,"friend, buddy.",,,29
ákig,n,noun,,,"anger, hatred.",,,29
,v,verb,,/-an/,"to be angry, to scold.",Gin’akígan sya sang ma’éstra.,The teacher scolded her.,29
akú,pr,pronoun,,,"I, me (first person singular nominal pronoun).",,,29
áku’,v,verb,,"/mag-,-un/","to own, to claim, to promise, to swear, to admit.",Gin áku’nya ang salá’.,He admitted the guilt.,29
ákun,pr,pronoun,,,"my, mine (first person singular pre-possessive pronoun).",,,29
ádlaw,n,noun,,,"day, birthday, anniversary.",,,29
ádlaw’ádlaw,adv,adverb,,,"daily, everyday.",,2,29
-ado,aa,adjective formative,adjective,,formative affix designating conditions or state of being.,Baldádo ang ákun láwas.,My body is all tired out.,30
ága,n,noun,,,morning.,,,30
agálun,n,noun,,,"master, boss.",,,30
ágaw,v,verb,,"/mag-,-un/","to grab, to seize, to take by force, to usurp.",Gin’ágaw sang báta’ ang lápis.,The child grabbed the pencil.,30
ágay,v,verb,,/mag-/,"to flow slowly, to drip in small drops.",,,30
ágbay,v,verb,,"/mag-,-an/",to put one’s arm on or about the shoulder of another person.,Nag ágbay sya kay Cárlos. He put his arms around Carlos’ shoulder.,,30
ágda,v,verb,,"/mag-,-un/","to ask, to invite.",Gin’ágda sya pára sa pyésta.,He was invited to the fiesta.,30
ági,n,noun,,/pa-/,"handwriting;  way, means.",,,30
,v,verb,,/mag-/,"to pass by for something, to pass through.",,,30
agí’,n,noun,,,hermaphrodite.,,,30
,adj,adjective,,,"effeminate, sissy.",,,30
Agósto,n,noun,,,August.,,,30
agrimensór,n,noun,,,surveyor.,,,30
ágsa,v,verb,,/mag-/,to work another’s field for part of the produce.,,,30
,n,noun,,/-dor/,tenant.,,,30
ágsik,v,verb,,"/mag-,-an/","to fly off, to scatter, to spray.",Nag’ágsik ang túbig.,The water sprayed. 3,30
ágtang,n,noun,,,forehead.,,,31
agúd,con,conjunction,,,so that.,,,31
águm,v,verb,,"/mag-,-un/","to obtain, to attain, to achieve, to possess.",Gin’águm nya ang katibawásan sa pangabúhi’.,He attained success in life.,31
,n,noun,,/kina-…-an/,"possessions, things.",,,31
ágwa,n,noun,,,"perfume, cologne.",,,31
agwánta,v,verb,,"/mag-,-un/","to bear, to tolerate, to suffer.",Nag’ agwánta sya sang madámu’ nga kasákit.,He suffered through a lot of heartaches.,31
ahá’,v,verb,,"/mag-,-un/","to insist, to ask fervently.",Nag’ahá’ sya nga ma’upúd sa síni.,He insisted that he go to the movies [with them).,31
ahénsya,n,noun,,,pawnshop.,,,31
ahénte,n,noun,,,agent.,,,31
áhos,n,noun,,,garlic.,,,31
alabá’ab,adj,adjective,,,"of liquid, lukewarm.",,,31
álak,n,noun,,,"hard drink, liquor.",,,31
alágad,n,noun,,,adopted person.,,,31
,v,verb,,"/mag-,-an/","to adopt, to take care of someone.",Nag’alágad sya sang báta’ nga laláki.,She adopted a baby boy.,31
aláhas,n,noun,,,jewelry.,,,31
álam,n,noun,,/ka-/,"wisdom, knowledge.",,,31
,adj,adjective,,/ma-/,"bright, smart, brilliant.",,4,31
,v,verb,,/mag-/,"to become smart, to become brilliant.",,,32
alámbre,n,noun,,,wire.,,,32
alangá’ang,n,noun,,,slight fever.,,,32
,adj,adjective,,/ma-/,"feverish, having a slight temperature.",,,32
álang’álang,adj,adjective,,,"doubtful, immature.",,,32
,v,verb,,/mag-/,to hesitate.,,,32
alangáy,adj,adjective,,,"equal, the same.",,,32
alás,pt,particle,,,time particle used with time-telling from dos until dose.,Alás tres na. It is already three o’clock.,,32
álat,n,noun,,/ka-/,saltiness.,,,32
,adj,adjective,,/ma-/,salty.,,,32
alát,n,noun,,,native basket made of woven bamboo strips.,,,32
álay,v,verb,,"/mag-,-an/",to be still through constant tension of the muscles.,,,32
aláy’ay,v,verb,,"/mag-,-un/","to cradle, to support, to hold arms under some person or thing so as to support.",Nag’aláy’ay si Manuel kag si Jose kay Noel.,Manuel and Jose carried Noel.,32
alkálde,n,noun,,,mayor.,,,32
alkánse,n,noun,,,loss in terms of money.,,,32
,v,verb,,/ma-/,"to lose some amount due to mismanagement in selling, to fail to gain.",,,32
,na,noun formative,,,’alkánse akú sa pagbalígya’.,,I failed to gain by selling it. 5,32
alkansíya,n,noun,,,"coin bank, empty coconut shell used as a coin bank.",,,33
alkítran,n,noun,,,"tar, asphalt.",,,33
alibángbang,n,noun,,,butterfly.,,,33
aligútgut,n,noun,,,"rage, wrath.",,,33
alimángu,n,noun,,,crab.,,,33
alipúlus,n,noun,,,"cyclone, eddy.",,,33
alíntun,v,verb,,"/mag-,-un/","to transfer, to hand down.",Gin’alíntun ni José ang balíta’ kay Joséfa.,Jose related the incident to Josefa.,33
alísto,adj,adjective,,,"alert, ready, prompt.",,,33
almasín,n,noun,,,"store, small market.",,,33
almidól,n,noun,,,starch.,,,33
almiránte,n,noun,,,"of the navy, admiral.",,,33
alpabéto,n,noun,,,alphabet.,,,33
alpómbra,n,noun,,,"carpet, rug.",,,33
álsa,v,verb,,"/mag-,-un/","to raise, to lift, to elevate slightly.",Gin’álsa nya ang báskit.,He lifted the basket.,33
alúm,n,noun,,,mole.,,,33
alúng’ung,n,noun,,,"opinion, idea, thought, knowledge.",,,33
áman,v,verb,,"/mag-,-un/",to prepare.,Gin’-áman ni nánay ang pagká’un sa bisíta.,Mother prepared the food for the visitor.,33
amargóso,n,noun,,,bitter melon.,,,33
amát’amát,adv,adverb,,,"gradually, little by little.",,6,33
,v,verb,,"/mag-,-un/","to start slowly, to gain speed, to leave one by one.",Nag’ámat’ámat na silá.,They left one by one.,34
amáy,n,noun,,,father.,,,34
ámba,n,noun,,,"prayer, chant, song.",,,34
,v,verb,,"/mag-,-un/","to sing, to pray, to adore.",Nag’ámba si Artúro.,Arturo sang.,34
ámbit,v,verb,,"/mag-,-un/","to participate, to share in.",Gin’ámbit nya ang kadunggánun.,He shared in the honor.,34
ámbung,n,noun,,/ka-/,"radiance, beauty.",,,34
,adj,adjective,,/ma-/,"radiant, effulgent, beautiful.",,,34
ámbut,id,idiom,,,I don’t know.,,,34
Amérika,n,noun,,,America.,,,34
amerikána,n,noun,,,"formal coat for men, female American citizen.",,,34
Amerikáno,n,noun,,,American citizen.,,,34
amidúl,n,noun,,,variant of almidúl.,,,34
amígo,n,noun,,,"friend, buddy.",,,34
amimíluk,n,noun,,,eyelash.,,,34
amínhan,n,noun,,,north.,,,34
ámlig,v,verb,,"/mag-,-an/","to handle with care, to be, careful.",Gin’-amligán ni Élsa ang íyang bág’ung líbro.,Elsa was careful with her new book.,34
ámpu’,n,noun,,,"prayer, pleading.",,7,34
,v,verb,,"/mag-,-un/","to pray, to beseech, to beg, to plead.",Nag’ámpu’ si Salvacíon sa Dyos.,Salvacion prayed to God.,35
ámu,n,noun,,,"boss, employer, master.",,,35
amú,pr,pronoun,,,"it, that.",,,35
,adv,adverb,,,similarly.,,,35
amú’,n,noun,,,monkey.,,,35
amúma,v,verb,,"/mag-,-un/","to be hospitable, to entertain.",,,35
ámun,pr,pronoun,,,"our, ours (first person exclusive plural pre-possessive pronoun).",,,35
ámut,n,noun,,,"subscription, donation, contribution.",,,35
,v,verb,,"/mag-,-un/","to contribute, to help by giving something.",Nag’ámut akú pára sa simbáhan.,I gave something for the church.,35
ámyun,adj,adjective,,/ma-/,fragrant.,,,35
1-an,va,verbal affix,,,"infinitive, benefactive-locative focus affix.",Gústo ku sultán si José.,I would like to write to Jose.; proposed action affix of this verb. Sulatán ku si José. I will write to Jose.; imperative action affix of this verb. Sulatan mu si José. You write to Jose.,35
2-an,va,verbal affix,verbal,,designating reciprocity of action.,Nagkita’áy silá.,They saw each other.,35
3-an,na,noun formative,,,noun formative affix designating a container or a place where an action occurs.,Nagsugál kamí sa sugálan.,We gambled in the gambling den.,35
anák,n,noun,,,child.,,8,35
,v,verb,,"/mag-,-un/","to bear a child, to give birth, to be godparent to a child during baptism or confirmation.",Nag’anák si Lucille sa búnyag.,Lucille stood as a godmother for a baptism ceremony.,36
1-anan,na,noun formative,,,noun formative affix denoting reciprocal action.,Táman ka’ínit ang sumbagánay sa síni.,The boxing episode in the film was very intense.; noun formative affix designating a container or a place. Butangánan iná’ sang mangá líbro. Those are bookshelves.,36
2-anan,va,verbal affix,verbal,,designating reciprocity of action.,Nagsumbagánay silá.,They boxed each other.,36
anád,adj,adjective,,,"usual, sophisticated, accustomed to.",,,36
,v,verb,,/ma-/,"to be accustomed to, to make familiar through experience.",Na’ánad akú mag’inúm sang tsa.,I am used to drinking tea.,36
ánay,pt,particle,,,"please, wait a minute.",Hulat ánay.,Please wait a minute.,36
,n,noun,,,termite.,,,36
-ánay,na,noun formative,,,variant of -ánan.,,,36
ánaw,n,noun,,,"deluge, great flood.",,,36
ándam,v,verb,,"/mag-,-un/","to be cautious, to be careful, to beware, to be prepared.",Nag’ámdam sa pagmaného si Pedro.,Pedro was cautious with his driving.,36
andámyu,n,noun,,,gangplank.,,,36
ándar,v,verb,,/mag-/,"to function, to work.",Nag’ándar ang motor.,The motor worked. 9,36
anhíng,adj,adjective,,,"late, departed, living comparatively recently.",,,37
áni,n,noun,,,"harvest, produce.",,,37
,v,verb,,"/mag-,-un/","to harvest, to reap.",Nag áni akú sang humáy.,I harvested some palay.,37
aningál,v,verb,,"/mag-,-un/",to have the delusion of hearing a familiar sound.,Gin’aningál nya ang tíngug ní nánay. She seemed to hear mother’s voice.,,37
ántes,adv,adverb,,,"earlier, before, in advance, previously.",,,37
antígu,v,verb,,/mag-/,"to know, to be knowledgeable.",Nag’antígu akú magmaného sang kótse.,I learned how to drive a car.,37
ánting’ánting,n,noun,,,"amulet, talisman.",,,37
antipatikú,adj,adjective,,,"unsympathetic, settled aversion.",,,37
ántud,adj,adjective,,/ma-/,"fetid, of odor, burnt.",,,37
ántus,v,verb,,"/mag-,-un/","to bear, to suffer, to endure.",Nag’ántus akú sang kapobréhan.,I suffered through poverty.,37
antyúhus,n,noun,,,"spectacles, eyeglasses.",,,37
anu,pr,pronoun,,,what.,Anú iní?.,What is this?.,37
,v,verb,,"/mag-,-un/","to become, to do with.",Nag’anú ka?.,What did you do?.,37
ánud,v,verb,,"/mag-,-un/","to drift, to flow with the current.",Gin ánud ang baláy pagbahá’.,The house was towed away during the flood.,37
ánum,num,numeral,,,six.,,10,37
1-ánun,aa,adjective formative,adjective,,formative affix attached to nouns to designate abundance in possession.,Manggaránun si Conchita.,Conchita is rich.,38
2-anun,na,noun formative,,,noun formative affix designating state of being.,Banwahánun si Teresíta.,Teresita is from the town.,38
anúnsyo,n,noun,,,"announcement, broadcast.",,,38
,v,verb,,"/mag-,-un/","to announce, to broadcast, to make public.",,,38
ányag,adj,adjective,,/ma-/,"beautiful, pretty.",,,38
ányo,n,noun,,,year.,,,38
áng,pt,particle,,,definite noun marker.,Ang líbro ára’ sa lamésa.,The book is on the table.,38
ángay,adj,adjective,,,"appropriate, becoming.",,,38
,v,verb,,"/mag-,-an/","to be well matched, to be equal, to look becoming, to fit.",,,38
ángkab,v,verb,,"/mag-,-un/","of animals, to snap, to bite, to seize with teeth so as to grip or bite.",Gin’ángkab sang idú’ ang báta’.,The dog bit the child.,38
ángkla,n,noun,,,anchor.,,,38
ángkun,v,verb,,"/mag-,-un/","to acquire, to attain, to possess.",Nag’ángkun sya sang kwárta.,He acquired some money.,38
ángga’,n,noun,,,"nickname, pet name.",,,38
,v,verb,,"/mag-,-un/","to fondle, to caress, to pet, to care for very much.",,,38
ánggid,adj,adjective,,,"alike, similar.",,11,38
,v,verb,,"/mag-,-un/","to be alike, to compare.",Nag’ánggid ang íya hitsúra sa íya amáy.,He looks like his father.,39
angút,v,verb,,"/mag-,-un/","to join together, to tie together, to fasten together.",,,39
ápa,n,noun,,,cone.,,,39
apá’,n,noun,,,"mute, dumb.",,,39
ápang,con,conjunction,,,"but, however.","Gústo ku magbakál ápang walá’akú sang kwárta. I would like to buy, but I don’t have any money.",,39
aparadór,n,noun,,,"closet, cabinet.",,,39
ápas,v,verb,,"/mag-,-un/","to follow, to go after.",Nag’ápas akú sa ákun bána sa Maníla’.,I followed my husband to Manila.,39
ápat,num,numeral,,/ka-…-an/,four;  forty; /ika-/ fourth; /napulug-/ fourteen.,,,39
ápdu,n,noun,,,gall bladder.,,,39
apelyédo,n,noun,,,"surname, last name.",,,39
ápin,v,verb,,"/mag-,-an/","to support, to side with, to be an ally to, to defend.",,,39
apínas,adj,adjective,,,scarce.,,,39
aplá’ag,v,verb,,"/mag-, -un/","to spread, to break and scatter.",Nag’aplá’ag ang florera.,The flower vase scattered into pieces.,39
apú,n,noun,,,grandchild.,,,39
ápuk,v,verb,,"/mag-,-un/","to throw, to be blown aside.",,,39
ápug,n,noun,,,lime.,,12,39
apurá,v,verb,,"/mag-,-un/","to make haste, to hasten.",Nag’apurá akú kay ulihí na akú.,I was in a hurry because I was already late.,40
ára’,d,deictic,,,there (short form to mean far from the speaker).,ára’ dirá’ d there (full form to mean far from the speaker).,,40
arádu,n,noun,,,plow.,,,40
,v,verb,,"/mag-,-un/","to plow, to use a plow to break up or turn the soil.",Nag’arádu si Pedro kahápun.,Pedro plowed the field yesterday.,40
árko,n,noun,,,arch.,,,40
aresgádo,adj,adjective,,,"adventurous, daring, foolhardy.",,,40
ári,d,deictic,,,here (short form to mean near the speaker).,,,40
arí’arí,adj,adjective,,,stunted in growth.,ári dirí d here (full form to mean near the speaker).,,40
aritmétika,n,noun,,,arithmetic.,,,40
arítus,n,noun,,,earring.,,,40
ármas,n,noun,,,"weapon, arms.",,,40
árte,n,noun,,/-ista/,"art, design, decoration;  actor, actress.",,,40
,adj,adjective,,/ma-/,"creative, artistic, vain.",,,40
artíkulo,n,noun,,,article.,,,40
arúy,intj,interjection,,,ouch.,,13,40
-aryo,na,noun formative,,,noun formative affix designating state of being.,Milyonaŕyo na si López.,Lopez is already a millionaire.,41
ásab,adj,adjective,,/ma-/,"voracious, gluttonous, ravenous.",,,41
asál,v,verb,,"/mag-,-un/",to roast particularly on a pit.,Nag asál kamí sang bábuy.,We roasted a pig.,41
ásang,n,noun,,,fish gill.,,,41
asáwa,n,noun,,,wife.,,,41
,v,verb,,"/mag-,-un/","to take a wife, to marry.",,,41
aséro,n,noun,,,steel.,,,41
asílo,n,noun,,,"sanctuary, institution of relief or care for the destitute or afflicted.",,,41
asikáso,v,verb,,"/mag-, -un/","to take care of, to attend to.",Nag’asikáso akú sang umá.,I took care of the farm.,41
asín,n,noun,,,salt.,,,41
,adj,adjective,,/ma-/,salty.,,,41
áslum,n,noun,,,sourness.,,,41
,adj,adjective,,/ma-/,sour.,,,41
asú,n,noun,,,smoke.,,,41
,v,verb,,"/mag-,-an/",to smoke.,Nag’asú ang kaláyu.,The fire smoked.,41
asúkar,n,noun,,,refined sugar.,,,41
asúgi,n,noun,,,"mercury, quicksilver.",,,41
asúl,adj,adjective,,,blue.,,14,41
asúntu,n,noun,,,"lawsuit, a case before a court.",,,42
áswang,n,noun,,,"witch, sorceress.",,,42
asyendéro,n,noun,,,"big landowner, sugar magnate.",,,42
atataró,n,noun,,,caterpillar.,,,42
atáke,v,verb,,"/mag-,-un/","to attack, to assault, to fall upon.",Gin’atáke sang mangá soldádo ang mangá tulisán.,The soldiers attacked the bandits.,42
atáy,n,noun,,,liver.,,,42
atendér,v,verb,,"/mag-, -an/","to attend to, to look after.",,,42
aténsyon,n,noun,,,attention.,,,42
áthag,adj,adjective,,/ma-/,"clear, distinct.",,,42
atí,n,noun,,"/mag-, -un/","to rob, to plunder, to steal, to sack.",Nag’atí ang mangá Huk sa búkid.,The Huks plundered the mountain area.,42
atipán,v,verb,,"/mag-,-un/","to take care of, to attend to.",Nag’atipán akú sang pasyénte.,I took care of the patient.,42
atipuyúng,v,verb,,/-un/,"to be dizzy, to feel faint.",Gin’atipuyúng akú ka’ína.,I felt faint earlier today.,42
átras,v,verb,,"/mag-,-un/","to go behind, to move back.",Nag’átras akú.,I moved back.,42
atráso,adj,adjective,,,"late, delayed.",,,42
atsára,n,noun,,,pickled green papaya.,,,42
atú,d,deictic,,,"that (short form to mean yonder, far from both the speaker and the listener).",,15,42
atúbang,v,verb,,"/mag-,-un/","to face, to confront, to stand before.",Nag’atúbang akú sa ímu.,I faced you.,43
,adv,adverb,,/-an/,in front of.,Sa atubángan sang kapitólyo ang tindáhan.,"The store is in front of the capitol. atú dídtu d there (long form), yonder, far from both the speaker and the listener.",43
átun,pr,pronoun,,,"our, ours (first person inclusive pre-possessive pronoun).",,,43
atúp,n,noun,,,roof.,,,43
atutúli,n,noun,,,earwax.,,,43
áwa’,n,noun,,,"mercy, compassion, pity.",,,43
,v,verb,,/ma-/,to have compassion for.,Na’áwa’ si Alfónso kay Ana.,Alfonso pitied Ana.,43
áwas,v,verb,,/mag-/,to overflow.,,,43
awát,v,verb,,"/mag-,-un/","to annoy, to waste another person’s time, to delay.",Gin’awát mu lang akú.,You just wasted my time.,43
áway,n,noun,,/ka-/,"combat, fight, assault.;  opponent.",,,43
,v,verb,,"/mag-,-un/","to fight, to go to war.",Nag’áway si Mariáno kag si Cárlos.,Mariano and Carlos had a fight.,43
áwto,n,noun,,,"car, automobile.",,,43
áy,intj,interjection,,,"oh, ouch, oh no.",,,43
-ay,va,verbal affix,,,variant of -an.,,,43
ayág,v,verb,,"/mag-,-un/","to sift, to screen, to strain.",Gin’ayág ku ang harína.,I sifted the flour. 16,43
ayám,v,verb,,/mang-/,to hunt.,Nangayám silá sang usá.,They hunted for deer.,44
ayáp,v,verb,,"/mag-,-un/","to adopt, to be willing to accept something new, to take up and practice as one’s own.",Gin’ayáp ku ang ílu.,I adopted the orphan.,44
ayáw,v,verb,,"/ma-…-an,-an/","to have more than enough, to be satiated, to be abundantly fed.",,,44
,na,noun formative,,,’ayáwan si Pédro sang pagká’un.,,Pedro was more than satisfied with the food.,44
áyhan,con,conjunction,,,"perhaps, therefore.",Sigúro ang kandidáto ku áyhan ang mada’úg.,Perhaps my candidate will win.,44
áyu,v,verb,,"/mag-,-un/","to become well, to fix something to make it work, to become good.",Nag’áyu ang masakítún sang hináli’.,The sick person got well rapidly.,44
,adj,adjective,,/ma-/,"fine, good, well.",,,44
áyu’,n,noun,,,"bargain, discount.",,,44
,v,verb,,"/mag-, -un/","to bargain, to ask for a discount.",Gin’áyu’ ku ang pŕesyo.,I asked for a discount of the price. 17,44
bá’bá,n,noun,,,mouth.,,,45
babáyi,n,noun,,,"female, woman.",,,45
bábuy,n,noun,,,"pig, pork.",,,45
báka,n,noun,,,"cow, beef.",,,45
baká’,adj,adjective,,,"bow-legged, walking as if under a strain.",,,45
,v,verb,,/mag-/,to walk under weight.,Nag’báka’ si José.,Jose walked under weight.,45
bakág,v,verb,,/-un/,"to get annoyed, to lose one’s patience.",Ginbakág akú sang hulát sa íya.,I got annoyed waiting for him.,45
bakál,v,verb,,"/mag-, -un/","to buy, to purchase.",,,45
bakasyón,n,noun,,,"vacation, leisure trip.",,,45
,v,verb,,/mag-/,"to take a vacation, to go on a trip.",,,45
bákbak,v,verb,,"/mag-, -un/",to strip off.,Ginbákbak ku ang pánit sang káhuy.,I stripped off the bark of the tree.,45
bákhaw,n,noun,,,mangrove.,,,45
bákhu’,v,verb,,"/mag-, -un/","to sigh, to moan, to lament.",Nagbákhu’ silá sang pagkamatáy sang íla amáy.,They mourned the death of their father.,45
báknal,adj,adjective,,/ma-/,"burdensome, onerous, bulky.",,,45
báknit,v,verb,,"/mag-, -un/","to nudge, to pinch, to pluck.",,,45
bákud,adj,adjective,,/ma-/,"strong, stiff.",,18,45
,v,verb,,/mag-/,"to become strong, to stiffen.",,,46
bákul,v,verb,,"/mag-, -un/",to beat or baffle with blows using a piece of wood or a piece of metal.,Ginbákul si Juán sang mangá hurúng.,Juan was badly beaten by some goons.,46
bakúlud,n,noun,,,"slope, hill.",,,46
bakúna,n,noun,,,vaccination.,,,46
,v,verb,,"/mag-, -an/",to vaccinate.,Ginbakunáhan akú sang kolerá.,I was immunized against cholera.,46
bádlu’,n,noun,,,phlegm.,,,46
bádlung,v,verb,,"/mag-, -un/","to point out a fault or mistake, to correct by telling a person.",Ginbádlung ku ang ákun mánghud.,I corrected the behavior of my younger sister.,46
bága,n,noun,,,"ember, live coal.",,,46
bagáhe,n,noun,,,"luggage, piece of baggage, cargo.",,,46
bagáng,v,verb,,"/mag-, -un/","to heat, to make red hot.",Ginbagáng ku ang plántsa.,I heated the iron.,46
baganíhan,n,noun,,,hero.,,,46
bagásu,n,noun,,,bagasse.,,,46
bagátnan,n,noun,,,south.,,,46
bágay,n,noun,,,"thing, idea, notion, effects.",,,46
bágid,v,verb,,"/mag-, -un/","to rub together, to strike together.",Nagbág’id akú sang duhá ka batú.,I rubbed two stones together. bágnas,46
,adj,adjective,,,"of fruits, unripe, nearly ripe.",,19,46
bágrung,n,noun,,,"roaring sound, thunderous sound.",,,47
,v,verb,,"/mag-, -un/","to roar, to thunder, to make a deafening sound.",,,47
bágrut,v,verb,,"/mag-, -un/",to gnash or grind one’s teeth.,Nagbágrut ang ngípun mu kagáb’i.,You ground your teeth (in your sleep) last night.,47
bágsak,n,noun,,,bedbug.,,,47
bágting,v,verb,,"/mag-, -un/","to ring a bell, to toll.",Nagbágting ang lingánay.,The bell rang.,47
bágtung,v,verb,,"/mag-, -un/",to wrap in a bundle especially with a woven cloth.,Nagbágtung kamí sang mangá kamátis.,We wrapped some tomatoes.,47
bágu,adv,adverb,,,before.,,,47
bág’u,adj,adjective,,,"new, recent, unfamiliar, novel.",,,47
,v,verb,,"/mag-, -un/","to make new, to change, to renew.",Nagbág’u ang ímu batásan.,You have changed your ways.,47
bagúl,n,noun,,,hard shell of the coconut.,,,47
bágyu,n,noun,,,"rainstorm, typhoon, hurricane.",,,47
,v,verb,,/mag-/,"to be stormy, to be forceful.",Nagbágyu sa Maníla.,There was a storm in Manila.,47
bahá’,n,noun,,,flood.,,,47
,v,verb,,"/mag-, -an/",to cover with a flood.,Nagbahá sa Kaneohe sádtung naglígad nga semána.,"There was a flood in Kaneohe last week.; /mag-, -an/ to scatter abundantly, to 20.",47
bahála’,v,verb,,,to be responsible for.,Bahála’ ka na siná’.,You are responsible for that.,48
báhin,n,noun,,,"part, chapter, share.",,,48
,v,verb,,"/mag-, -un/","to divide, to deal with‚ to make small parts of.",Ginbáhin ang lóte sa mangá anák nya.,The lot was divided among the children.,48
báhit,v,verb,,"/mag-, -un/",to take something out from the fire.,Ginbáhit ku ang sinúgba nga bábuy.,I took the roasted pork out of the fire.,48
báhu,n,noun,,,"of music, bass.",,,48
báhu’,n,noun,,,"smell, odor, stink.",,,48
,adj,adjective,,,"odorous, pungent, acrid smelling, stinking.",,,48
bahúg,n,noun,,,food for pigs.,,,48
,v,verb,,"/mag-, -un/","of animals, to feed swine, or any animal; of people, to eat mixed foods simultaneously.",Nagbahúg akú sang bábuy.,I fed the pigs.,48
bahúl,adj,adjective,,/ma-/,"coarse, loose or rough texture.",,,48
bahún,n,noun,,,sneeze.,,,48
,v,verb,,/mag-/,to sneeze.,,,48
bá’id,v,verb,,"/mag-, -un/","to sharpen, to rub against a stone so as to sharpen.",,,48
bá’is,v,verb,,"/mag-, -un/","to argue, to dispute, to debate.",Ginbá’is nya si Rubén.,He argued with Ruben. 21,48
bála,n,noun,,,bullet.,,,49
balá,pt,particle,,,question particle to express doubt or uncertainty; tag question particle.,"Ma’éstro si Pédro, índi’ balá?. Pedro is a teacher, isn’t he?",,49
balá’an,adj,adjective,,,"divine, godlike, heavenly.",,,49
balábag,v,verb,,"/mag-, -un/","to frustrate, to block, to lay across as of a log.",Nagbalábag ang áwto sa kálye.,The car blocked the street.,49
baláka,v,verb,,"/mag-, -un/","to feel concerned about something or somebody, to worry.",Ginbaláka sya sang hitabú.,He felt concerned about the incident.,49
bál’ag,v,verb,,"/mag-, -an/","to file, to rub and make smooth with a file.",,,49
balágun,n,noun,,,"vine, climbing plant.",,,49
balahíbu,n,noun,,,"of animals, fur; of people, skin hair.",,,49
balának,n,noun,,,mullet.,,,49
balánse,v,verb,,"/mag-, -un/","to balance, to shift, to bring to a state of equipoise or stability.",Nagbalánse si Juán sa bángku.,Juan balanced himself on top of the bench.,49
balangáw,n,noun,,,rainbow.,,,49
balás,n,noun,,,sand.,,,49
balása,v,verb,,"/mag-, -un/","to shuffle, to mix up as of cards.",Ginabalása ku ang mangá baráha.,I shuffled the cards.,49
balasúbas,adj,adjective,,,"rowdy, rude, good-for-nothing, inconsiderate.",,22,49
balatí’an,n,noun,,,"disease, illness, feeling, physical condition.",,,50
,v,verb,,/mag-/,"to suffer from a disease, to be sick.",Nagbalatí’an si Ricárdo sang kolerá.,Ricardo was sick of cholera.,50
baláy,n,noun,,,"house, home, dwelling, building.",,,50
,v,verb,,"/mag-, -an/","to build a house, to put up a house or building.",,,50
bálaybálay,n,noun,,,playhouse.,,,50
,v,verb,,"/mag-, -un/",to go from one house to another.,Ginbaláybaláy nilá ang báryu.,They went to every house in the barrio.,50
baláybay,n,noun,,,"verse, recitation, rhyme, poetry.",,,50
balbolá,n,noun,,,valve.,,,50
bálda,n,noun,,,"pain, sickness, ache, soreness.",,,50
,adj,adjective,,/-ado/,"paralytic, sickly, low resistance against illness.",Baldádo ang láwas ni Glória.,Gloria is very sickly.,50
báldi,n,noun,,,"bucket, pail.",,,50
baldúsa,n,noun,,,"concrete pavement, cemented floor.",,,50
bále,v,verb,,,"to be about, to amount to, to equal to.",Bále ánum ka písos ang ímu útang.,Your debt amounts to six pesos.,50
bálhas,n,noun,,,"perspiration, sweat, condensation.",,,50
,v,verb,,/-un/,"to perspire, to sweat.",Ginbálhas si Artúro pagkatápus maghámpang sang basketból.,Arturo perspired after playing basketball.,50
bálhin,v,verb,,"/mag-, -un/","to change, to exchange.",,23,50
balí’,n,noun,,,"fracture, break.",,,51
,adj,adjective,,,"broken, fractured.",,,51
